11.538	0.000492
13.2313	0.000332
17.7607	0.000318
16.4868	0.002949
26.1478	0.000399
14.9974	0.000262
9.35626	0.000316
11.538	0.000388
14.1052	0.000341
17.0639	0.000276
13.1219	0.001632
24.3596	0.000666
11.9577	0.00038
15.8936	0.000976
16.4994	0.000538
8.62261	0.000357
21.2581	0.000317
13.6279	0.000378
23.43	0.000809
26.1809	0.00038
15.927	0.003504
28.3603	0.001379
18.1352	0.000408
14.9654	0.000315
16.1946	0.000298
14.3447	0.005742
15.9429	0.000356
14.5703	0.000911
14.1101	0.000939
12.7839	0.000371
18.025	0.003161
14.9537	0.000319
17.5201	0.000395
12.7192	0.000414
16.4994	0.000476
25.3125	0.000586
18.0577	0.000337
11.928	0.001105
16.5	0.000494
25.256	0.000865
20.4826	0.001675
12.4036	0.000686
16.3734	0.000337
12.5592	0.000361
22.6157	0.000462
22.9161	0.000286
14.6245	0.000489
24.5363	0.000365
24.3617	0.000443
14.1894	0.000379
